customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,support_calls,is_active,signup_date,churn
CUST-000090,57,138.11,7436.17,two-year,fiber,9,true,2023-11-09,0
CUST-000091,12,143.19,1600.01,month-to-month,none,3,true,2023-03-25,0
CUST-000092,9,40.35,349.09,month-to-month,none,9,true,2023-02-03,1
CUST-000093,58,29.25,1586.25,two-year,fiber,4,true,2024-10-02,0
CUST-000094,14,90.79,1267.43,month-to-month,fiber,4,true,2023-03-15,0
CUST-000095,72,139.76,9719.31,one-year,none,7,true,2024-12-17,0
CUST-000096,69,84.19,5298.29,one-year,none,0,true,2025-01-22,0
CUST-000097,11,49.76,547.99,one-year,dsl,9,true,2023-01-22,0
CUST-000098,5,119.2,552.06,two-year,fiber,8,true,2023-10-12,0
CUST-000099,62,145.98,8783.78,two-year,fiber,6,true,2024-11-17,0
CUST-000100,52,110.18,5404.12,month-to-month,fiber,6,true,2024-07-17,0
CUST-000101,32,62.03,2075.33,month-to-month,fiber,6,true,2025-04-24,1
CUST-000102,59,73.72,4036.91,two-year,none,5,true,2024-05-25,0
CUST-000103,34,91.4,3229.27,month-to-month,dsl,7,true,2024-05-11,0
CUST-000104,30,112.27,3188.29,two-year,none,0,true,2023-04-06,0
CUST-000105,15,104.2,1442.8,month-to-month,fiber,4,true,2023-10-07,0
CUST-000106,31,79.38,2268.09,one-year,fiber,3,true,2024-06-04,0
CUST-000107,35,120.45,4334.47,month-to-month,dsl,5,true,2024-06-03,0
CUST-000108,38,128.87,4833.34,month-to-month,fiber,10,true,2023-06-02,0
CUST-000109,42,91.75,3782.27,one-year,fiber,7,true,2025-06-09,0
CUST-000110,49,50.36,2507.94,two-year,dsl,0,true,2024-04-29,0
CUST-000111,19,84.39,1451.97,one-year,fiber,8,true,2023-12-06,0
CUST-000112,67,138.36,8364.45,one-year,dsl,2,true,2024-11-01,0
CUST-000113,33,64.01,2120.58,month-to-month,fiber,10,false,2023-12-03,1
CUST-000114,40,101.48,4193.62,two-year,fiber,7,true,2023-02-06,0
CUST-000115,36,149.67,5452.86,month-to-month,none,6,true,2025-02-17,0
CUST-000116,21,110.22,2396.82,month-to-month,fiber,0,true,2023-02-27,0
CUST-000117,18,51.75,895.92,one-year,fiber,10,true,2023-06-24,0
CUST-000118,30,84.7,2509.17,two-year,fiber,3,true,2023-09-18,0
CUST-000119,59,137.16,8105.72,two-year,dsl,2,false,2023-12-20,0
CUST-000120,54,109.74,5739.44,one-year,none,4,true,2024-01-29,0
CUST-000121,48,94.35,4466.4,month-to-month,dsl,4,false,2025-04-29,0
CUST-000122,72,132.46,9696.84,one-year,dsl,0,true,2025-02-02,0
CUST-000123,45,48.47,2025.24,one-year,dsl,4,true,2025-01-08,0
CUST-000124,12,137.44,1644.25,two-year,dsl,4,true,2023-02-04,0
CUST-000125,11,138.25,1443.2,two-year,dsl,6,true,2023-05-16,0
CUST-000126,64,138.75,9098.19,one-year,none,4,true,2024-05-08,0
CUST-000127,43,124.55,5196.32,one-year,none,1,false,2023-08-20,0
CUST-000128,50,145.75,7438.26,two-year,none,5,false,2024-02-09,0
CUST-000129,58,67.92,3988.02,two-year,dsl,4,true,2025-04-22,0
CUST-000130,29,81.29,2340.75,one-year,dsl,8,true,2024-09-16,0
CUST-000131,59,138.22,7709.14,month-to-month,none,6,false,2023-02-16,0
CUST-000132,14,32.63,471.94,one-year,fiber,2,true,2024-01-15,0
CUST-000133,69,74.49,5198.1,two-year,none,2,true,2024-11-01,0
CUST-000134,52,142.08,6959.36,one-year,none,5,true,2024-03-31,0
CUST-000135,47,90.78,4465.81,one-year,dsl,5,false,2023-10-10,0
CUST-000136,11,106.16,1163.39,month-to-month,fiber,9,true,2023-02-21,1
CUST-000137,72,46.68,3443.21,month-to-month,dsl,8,true,2023-08-10,0
CUST-000138,18,122.52,2181.98,month-to-month,fiber,4,true,2023-05-29,1
CUST-000139,22,34.29,776.99,two-year,fiber,2,false,2025-03-19,0
CUST-000140,2,42.65,77.44,two-year,fiber,6,true,2025-02-02,0
CUST-000141,65,97.18,6113.31,one-year,fiber,3,true,2023-02-14,0
CUST-000142,38,79.55,3157.73,two-year,none,0,true,2025-05-17,0
CUST-000143,62,112.61,6748.17,two-year,dsl,1,true,2023-06-01,0
CUST-000144,70,112.58,7542.8,one-year,none,9,true,2024-04-09,0
CUST-000145,14,130.86,1827.71,one-year,dsl,8,true,2023-08-09,0
CUST-000146,43,127.56,5264.63,month-to-month,fiber,1,true,2023-11-17,0
CUST-000147,60,28.73,1766.49,one-year,dsl,1,true,2025-02-01,0
CUST-000148,7,96.24,663.06,month-to-month,none,5,true,2024-02-25,0
CUST-000149,6,145.89,866.64,two-year,fiber,5,false,2024-06-03,0
CUST-000150,28,130.15,3471.16,two-year,fiber,8,true,2025-02-19,0
CUST-000151,71,146.69,10652.08,month-to-month,fiber,9,true,2024-07-24,0
CUST-000152,34,23.76,760.17,two-year,none,4,true,2023-12-26,0
CUST-000153,51,29.05,1498.06,month-to-month,none,0,false,2024-06-27,0
CUST-000154,43,40.46,1647.13,one-year,fiber,5,true,2024-08-04,0
CUST-000155,20,118.08,2143.07,month-to-month,dsl,1,true,2024-11-08,0
CUST-000156,53,55.51,2980.99,two-year,fiber,1,true,2023-04-24,0
CUST-000157,62,88.5,5192.14,two-year,none,3,true,2024-09-05,0
CUST-000158,27,119.76,3280.81,month-to-month,fiber,4,true,2023-01-08,0
CUST-000159,16,69.43,1117.05,one-year,dsl,8,true,2024-11-15,0
CUST-000160,5,76.71,371.65,month-to-month,fiber,1,true,2024-08-12,0
CUST-000161,53,57.64,2935.03,one-year,none,5,true,2024-09-24,0
CUST-000162,11,76.77,773.43,two-year,fiber,6,true,2024-06-20,0
CUST-000163,43,48.8,2133.8,one-year,none,1,true,2023-04-27,0
CUST-000164,44,114.56,5155.78,month-to-month,fiber,2,true,2023-05-30,0
CUST-000165,19,118.83,2253.99,month-to-month,none,2,true,2024-10-05,0
CUST-000166,57,108.55,6387.25,two-year,none,10,true,2024-10-01,0
CUST-000167,19,77.17,1422.74,two-year,fiber,10,true,2023-10-09,0
CUST-000168,9,60.35,525.65,one-year,none,0,true,2023-10-21,0
CUST-000169,64,69.98,4420.72,month-to-month,none,0,true,2025-04-09,0
CUST-000170,60,85.18,5333.93,month-to-month,fiber,7,false,2025-05-07,0
CUST-000171,64,104.0,6029.48,two-year,dsl,7,true,2024-06-20,0
CUST-000172,47,139.33,6274.21,month-to-month,fiber,5,true,2023-02-23,0
CUST-000173,8,62.86,494.68,two-year,fiber,6,true,2025-01-11,0
CUST-000174,42,30.6,1284.61,two-year,dsl,5,true,2024-11-02,0
CUST-000175,10,60.25,576.29,one-year,dsl,5,true,2024-11-17,0
CUST-000176,67,32.15,2155.27,two-year,none,8,true,2024-01-07,0
CUST-000177,62,44.96,2926.89,month-to-month,fiber,2,false,2025-05-14,0
CUST-000178,67,24.91,1586.38,two-year,none,9,false,2024-01-21,0
CUST-000179,21,113.75,2165.53,month-to-month,none,5,true,2023-09-01,1
CUST-000180,57,50.42,2689.65,two-year,fiber,7,true,2023-07-18,0
CUST-000181,59,120.03,7200.17,two-year,fiber,8,true,2023-06-15,0
CUST-000182,32,26.78,833.04,two-year,dsl,5,true,2023-04-16,0
CUST-000183,36,30.9,1027.91,two-year,dsl,7,true,2023-05-31,0
CUST-000184,57,135.0,7999.5,month-to-month,dsl,6,false,2024-05-29,0
CUST-000185,47,49.19,2191.25,one-year,dsl,1,true,2024-10-27,0
CUST-000186,4,57.29,234.77,month-to-month,dsl,2,true,2024-04-25,0
CUST-000187,2,53.27,109.23,month-to-month,dsl,8,true,2024-09-15,1
CUST-000188,30,59.15,1609.76,month-to-month,fiber,6,true,2024-09-29,0
CUST-000189,68,22.14,1471.35,month-to-month,fiber,3,true,2023-10-26,0
CUST-000190,30,94.19,2622.52,two-year,fiber,10,false,2024-01-05,0
CUST-000191,64,122.23,7636.1,two-year,none,0,true,2024-04-26,0
CUST-000192,32,117.15,3574.72,one-year,fiber,1,true,2025-01-20,0
CUST-000193,42,37.34,1494.33,month-to-month,none,5,true,2023-06-29,0
CUST-000194,61,102.13,6365.27,two-year,fiber,1,true,2024-04-13,0
CUST-000195,25,135.15,3200.82,month-to-month,dsl,4,true,2025-04-14,0
CUST-000196,24,57.19,1412.8,one-year,dsl,0,true,2023-12-06,0
CUST-000197,51,116.63,6151.53,one-year,fiber,6,true,2023-07-11,0
CUST-000198,66,54.67,3292.11,one-year,fiber,6,false,2024-09-08,0
CUST-000199,37,61.76,2084.05,month-to-month,none,10,true,2024-04-01,0
CUST-000200,56,65.7,3334.65,one-year,dsl,5,true,2024-03-21,0
CUST-000201,51,67.23,3497.87,month-to-month,dsl,10,true,2023-02-01,0
CUST-000202,56,24.52,1249.66,two-year,none,10,true,2024-01-28,0
CUST-000203,19,108.28,2144.39,month-to-month,none,5,true,2023-03-20,0
CUST-000204,50,60.87,2866.38,two-year,fiber,1,false,2023-07-10,0
CUST-000205,15,54.03,761.05,one-year,none,7,true,2024-09-18,0
CUST-000206,15,37.64,514.41,one-year,dsl,2,true,2024-03-31,0
CUST-000207,44,112.24,4852.13,two-year,fiber,4,true,2025-05-21,0
CUST-000208,22,123.18,2645.77,two-year,none,1,true,2025-03-22,0
CUST-000209,46,92.02,4043.86,one-year,dsl,8,false,2023-03-30,0
CUST-000210,61,88.34,5471.59,one-year,none,9,false,2023-11-21,0
CUST-000211,66,64.79,4411.67,one-year,fiber,8,true,2023-07-06,0
CUST-000212,64,138.39,8044.88,month-to-month,fiber,1,true,2023-11-08,0
CUST-000213,28,64.98,1894.28,one-year,none,4,true,2023-09-14,0
CUST-000214,16,101.25,1607.31,two-year,fiber,1,true,2023-06-22,0
CUST-000215,21,105.64,2236.4,two-year,dsl,9,true,2024-07-31,0
CUST-000216,5,143.31,727.77,month-to-month,dsl,4,true,2025-02-24,0
CUST-000217,3,84.74,252.71,two-year,none,4,true,2023-11-06,0
CUST-000218,38,78.96,3010.36,two-year,fiber,2,true,2024-05-10,0
CUST-000219,18,60.64,1099.98,one-year,none,5,true,2023-05-14,0
CUST-000220,13,61.49,775.37,two-year,none,4,true,2023-05-25,0
CUST-000221,53,52.28,2853.4,one-year,fiber,2,true,2024-08-14,0
CUST-000222,63,149.48,9134.93,month-to-month,dsl,4,true,2023-04-03,0
CUST-000223,30,47.97,1371.37,two-year,fiber,0,true,2024-09-03,0
CUST-000224,60,57.15,3090.31,two-year,none,1,true,2023-09-28,0
CUST-000225,5,72.08,355.19,one-year,fiber,3,true,2023-10-23,0
CUST-000226,70,56.36,4136.0,two-year,fiber,10,true,2023-05-12,0
CUST-000227,43,92.52,3798.7,one-year,fiber,2,true,2024-06-05,0
CUST-000228,4,37.81,143.67,month-to-month,dsl,7,true,2023-06-02,1
CUST-000229,41,141.08,5482.22,two-year,dsl,6,true,2025-01-27,0
CUST-000230,64,127.68,8006.87,two-year,fiber,9,true,2025-04-15,0
CUST-000231,14,147.39,2037.78,one-year,none,10,false,2024-04-30,0
CUST-000232,29,113.78,3258.47,two-year,none,2,true,2025-01-08,0
CUST-000233,31,24.1,778.65,one-year,dsl,1,true,2024-03-27,0
CUST-000234,26,73.35,1938.08,month-to-month,fiber,7,true,2025-01-23,1
CUST-000235,66,46.95,2939.91,two-year,dsl,10,true,2024-01-21,0
CUST-000236,68,64.5,4180.49,month-to-month,fiber,10,true,2024-12-10,0
CUST-000237,31,56.27,1648.04,one-year,dsl,4,true,2024-12-22,0
CUST-000238,40,82.37,3242.32,two-year,fiber,4,true,2024-08-10,0
CUST-000239,44,144.1,6471.6,one-year,fiber,4,false,2025-01-01,0
CUST-000240,32,117.15,3494.25,one-year,none,8,true,2024-07-29,0
CUST-000241,30,51.52,1546.33,month-to-month,dsl,8,true,2023-08-27,0
CUST-000242,60,33.07,2015.18,one-year,fiber,0,true,2023-06-11,0
CUST-000243,25,118.27,2788.47,one-year,fiber,4,true,2025-02-26,0
CUST-000244,68,116.03,8107.41,two-year,dsl,0,true,2023-06-29,0
CUST-000245,50,122.43,5680.43,month-to-month,dsl,4,true,2023-01-10,0
CUST-000246,42,56.99,2509.35,two-year,dsl,8,true,2023-05-18,0
CUST-000247,24,125.15,2852.23,one-year,fiber,7,true,2025-01-05,0
CUST-000248,37,93.81,3518.15,two-year,fiber,2,true,2024-10-16,0
CUST-000249,41,31.28,1282.98,one-year,none,2,true,2024-05-03,0
CUST-000250,33,69.86,2229.33,month-to-month,dsl,4,true,2023-11-06,0
CUST-000251,33,104.98,3477.9,two-year,dsl,0,true,2024-04-21,0
CUST-000252,64,140.0,9257.21,one-year,none,4,true,2024-10-16,0
CUST-000253,28,48.49,1249.15,one-year,fiber,2,true,2024-09-12,0
CUST-000254,60,118.46,7251.88,two-year,none,3,true,2024-11-27,0
CUST-000255,57,88.66,4822.51,month-to-month,none,9,false,2025-04-28,0
CUST-000256,68,39.48,2548.31,two-year,dsl,8,true,2024-11-27,0
CUST-000257,11,136.86,1455.51,two-year,fiber,0,true,2024-06-09,0
CUST-000258,71,80.11,5807.47,two-year,dsl,0,true,2025-04-16,0
CUST-000259,9,25.89,221.75,month-to-month,none,1,true,2023-03-03,0
CUST-000260,4,57.32,212.54,month-to-month,fiber,2,true,2025-01-16,1
CUST-000261,48,78.31,3900.09,one-year,fiber,6,true,2024-11-30,0
CUST-000262,44,35.42,1634.73,two-year,dsl,6,true,2025-01-15,0
CUST-000263,38,80.19,3071.18,month-to-month,dsl,6,true,2025-04-23,0
CUST-000264,19,55.83,1103.85,one-year,fiber,1,false,2024-11-07,0
CUST-000265,26,28.75,739.35,month-to-month,dsl,7,true,2024-12-21,1
CUST-000266,5,72.29,338.01,month-to-month,none,3,true,2025-03-05,0
CUST-000267,29,126.05,3691.01,two-year,fiber,5,true,2025-03-02,0
CUST-000268,38,133.91,5332.09,one-year,dsl,8,true,2023-11-04,0
CUST-000269,22,101.38,2150.25,two-year,none,7,false,2023-12-19,0
CUST-000270,67,61.44,3961.9,two-year,fiber,2,true,2023-07-08,0
CUST-000271,28,59.1,1664.95,one-year,dsl,7,true,2024-07-29,0
CUST-000272,67,37.43,2348.39,one-year,none,3,true,2023-03-22,0
CUST-000273,68,114.2,7210.92,one-year,dsl,4,true,2024-09-11,0
CUST-000274,71,48.21,3187.87,month-to-month,dsl,5,true,2023-01-16,0
CUST-000275,15,117.09,1779.45,month-to-month,none,3,true,2024-12-21,0
CUST-000276,41,120.82,4741.11,month-to-month,none,8,true,2023-11-12,0
CUST-000277,59,32.82,2027.77,two-year,fiber,7,true,2023-11-24,0
CUST-000278,52,25.94,1388.82,one-year,fiber,2,false,2024-07-20,0
CUST-000279,53,58.37,2875.29,two-year,none,3,true,2025-05-03,0
CUST-000280,43,53.45,2351.76,two-year,none,10,true,2024-04-16,0
CUST-000281,17,113.64,1880.2,one-year,dsl,8,true,2023-03-02,0
CUST-000282,6,119.36,688.84,month-to-month,none,10,true,2024-12-25,1
CUST-000283,58,68.52,3945.05,month-to-month,none,10,true,2024-05-09,0
CUST-000284,68,91.71,5623.74,month-to-month,dsl,8,true,2024-07-02,0
CUST-000285,55,124.8,7114.3,month-to-month,none,1,true,2024-06-20,0
CUST-000286,67,52.81,3372.56,month-to-month,none,6,false,2024-02-20,0
CUST-000287,28,59.0,1691.99,month-to-month,none,1,true,2025-05-28,0
CUST-000288,51,69.3,3473.88,month-to-month,dsl,0,true,2024-12-20,0
CUST-000289,42,93.56,4042.27,one-year,fiber,1,true,2023-02-13,0
CUST-000290,60,55.24,3442.42,two-year,none,10,true,2024-07-10,0
CUST-000291,40,22.04,820.83,month-to-month,dsl,2,true,2024-12-30,0
CUST-000292,20,93.31,1838.22,month-to-month,fiber,6,true,2024-07-07,0
CUST-000293,10,85.1,890.27,two-year,dsl,0,false,2023-08-26,0
CUST-000294,50,145.96,6925.48,one-year,none,10,true,2024-04-06,0
CUST-000295,48,76.14,3661.86,one-year,none,10,true,2025-03-01,0
CUST-000296,9,30.66,254.73,month-to-month,none,10,true,2024-02-03,1
CUST-000297,0,142.58,137.83,month-to-month,dsl,4,false,2023-03-31,0
CUST-000298,71,86.62,5630.31,one-year,none,1,true,2023-04-06,0
CUST-000299,1,57.94,55.52,one-year,fiber,1,true,2024-07-26,0
CUST-000300,66,42.05,2656.27,month-to-month,none,2,true,2023-10-02,0
CUST-000301,55,55.88,2904.25,month-to-month,dsl,1,true,2023-09-10,0
CUST-000302,25,79.52,1829.6,one-year,none,0,true,2023-12-07,0
CUST-000303,56,63.52,3636.52,one-year,fiber,10,true,2023-05-20,0
CUST-000304,25,82.27,1905.88,two-year,none,6,true,2023-10-26,0
CUST-000305,31,62.37,1821.42,two-year,fiber,6,true,2024-07-31,0
CUST-000306,70,23.5,1659.94,two-year,dsl,3,true,2023-10-26,0
CUST-000307,63,38.09,2268.71,month-to-month,fiber,4,true,2025-01-02,0
CUST-000308,57,148.79,8242.59,one-year,dsl,6,true,2025-06-09,0
CUST-000309,46,111.21,5227.41,two-year,dsl,9,true,2023-03-29,0
CUST-000310,45,41.62,1857.73,month-to-month,none,9,true,2024-11-24,0
CUST-000311,13,21.37,260.81,one-year,fiber,8,true,2024-07-25,0
CUST-000312,57,68.64,3792.99,two-year,dsl,10,true,2024-05-27,0
CUST-000313,13,58.41,788.25,month-to-month,fiber,1,false,2025-01-17,0
CUST-000314,58,121.96,6919.24,one-year,fiber,5,true,2024-03-24,0
CUST-000315,8,59.03,482.41,one-year,fiber,1,false,2023-12-18,0
CUST-000316,31,87.08,2653.01,two-year,dsl,5,true,2024-04-18,0
CUST-000317,23,44.23,1015.86,one-year,none,6,false,2024-09-20,0
CUST-000318,54,70.55,3831.45,one-year,none,3,true,2024-12-21,0
CUST-000319,13,123.94,1579.85,month-to-month,none,5,true,2024-04-13,0
CUST-000320,67,145.57,9236.37,two-year,fiber,6,true,2024-08-24,0
CUST-000321,22,125.79,2783.7,one-year,fiber,4,true,2024-08-27,0
CUST-000322,15,51.01,702.06,month-to-month,fiber,5,true,2024-06-07,0
CUST-000323,49,75.0,3575.78,two-year,dsl,8,true,2024-10-22,0
CUST-000324,21,83.65,1617.95,month-to-month,none,5,true,2024-09-26,0
CUST-000325,62,37.75,2392.65,one-year,dsl,8,true,2024-05-21,0
CUST-000326,56,83.53,4267.92,one-year,fiber,0,true,2023-08-14,0
CUST-000327,68,57.53,3978.98,one-year,dsl,9,true,2025-02-23,0
CUST-000328,14,54.83,753.39,two-year,dsl,5,true,2025-02-13,0
CUST-000329,69,48.41,3219.28,two-year,fiber,10,true,2023-11-01,0
CUST-000330,33,65.32,2204.08,month-to-month,fiber,7,true,2023-05-01,1
CUST-000331,44,131.94,5756.24,month-to-month,dsl,6,true,2023-05-23,0
CUST-000332,72,65.61,4450.7,month-to-month,dsl,8,true,2024-12-21,0
CUST-000333,65,148.11,9645.39,two-year,fiber,1,false,2025-02-07,0
CUST-000334,16,111.19,1636.55,month-to-month,fiber,2,true,2025-04-28,0
CUST-000335,62,38.48,2373.5,two-year,fiber,10,true,2024-04-07,0
CUST-000336,65,117.47,7667.66,month-to-month,fiber,5,true,2024-05-14,0
CUST-000337,11,115.02,1225.7,month-to-month,none,10,true,2025-05-20,1
CUST-000338,27,145.86,4031.66,two-year,fiber,7,true,2025-04-28,0
CUST-000339,16,93.6,1456.87,two-year,none,5,true,2025-02-19,0
CUST-000340,58,22.12,1333.53,month-to-month,none,2,true,2023-01-01,0
CUST-000341,16,134.68,2036.96,one-year,dsl,4,false,2024-01-05,0
CUST-000342,21,26.73,557.87,one-year,none,3,true,2023-04-04,0
CUST-000343,61,30.13,1817.81,month-to-month,dsl,8,true,2023-01-10,0
CUST-000344,54,110.22,5783.17,one-year,dsl,3,true,2025-01-18,0
CUST-000345,47,134.53,5820.68,month-to-month,fiber,2,true,2024-11-24,0
CUST-000346,1,99.34,91.85,two-year,none,5,true,2024-10-05,0
CUST-000347,56,131.8,6738.69,one-year,none,1,false,2023-05-07,0
CUST-000348,54,60.89,3028.22,one-year,fiber,4,true,2023-09-12,0
CUST-000349,36,121.27,4381.31,two-year,none,10,true,2023-07-30,0
CUST-000350,50,58.42,2652.81,two-year,dsl,3,true,2023-04-26,0
CUST-000351,9,88.68,835.36,two-year,none,5,true,2023-05-16,0
CUST-000352,46,91.03,3877.16,two-year,fiber,7,true,2025-02-27,0
CUST-000353,1,54.08,49.0,two-year,dsl,0,true,2024-02-12,0
CUST-000354,64,119.72,7382.69,two-year,none,6,false,2024-07-03,0
CUST-000355,10,60.29,588.85,month-to-month,fiber,3,true,2023-06-09,0
CUST-000356,8,60.32,465.97,one-year,none,3,false,2023-03-30,0
